组编号	|	编号	|	编号颜色	|	用药建议	|	用药建议颜色	|	建议详细
191	|	双氯芬酸钠1-2	|	#ff0000	|	慎用	|	#ff0000	|	检测结果，您的孩子<style italic="true">CYP2C9</style>为弱代谢型，双氯芬酸钠代谢慢，副作用风险高；<style italic="true">PLA2G4A</style>和<style italic="true">TNFRSF11A</style>基因多态引起的毒副作用风险高。请慎用。
	|	双氯芬酸钠2-3	|	#ff0000	|		|		|	
	|	双氯芬酸钠3-3	|	#ff0000	|		|		|	
192	|	可待因1-1	|	#ffffff	|	正常使用<style font_color='#ff0000'>12岁以下禁用</style>	|	#ffffff	|	检测结果，您的孩子<style italic="true">CYP2D6</style>属于正常代谢型，可待因代谢正常，毒副作用低，提示可正常使用。<br/>12岁以下儿童禁用含可待因药品。对于患有慢性呼吸系统疾病的12—18岁儿童和青少年不宜使用含可待因药品。
193	|	可待因1-2	|	#ff0000	|	禁用	|	#ff0000	|	检测结果，您的孩子<style italic="true">CYP2D6</style>属于快代谢型，可待因代谢快，毒副作用高，请避免使用。<br/>12岁以下儿童禁用含可待因药品。对于患有慢性呼吸系统疾病的12—18岁儿童和青少年不宜使用含可待因药品。
194	|	可待因1-3	|	#ffff00	|	换药	|	#ffff00	|	检测结果，您的孩子<style italic="true">CYP2D6</style>属于弱代谢型，可待因代谢慢，药效差，请避免使用。<br/>12岁以下儿童禁用含可待因药品。对于患有慢性呼吸系统疾病的12—18岁儿童和青少年不宜使用含可待因药品。
195	|	可待因1-4	|	#ffff00	|	增加用药剂量	|	#ffff00	|	检测结果，您的孩子<style italic="true">CYP2D6</style>属于中间代谢型，可待因代谢较慢，药效较差，请遵医嘱调整用量。<br/>12岁以下儿童禁用含可待因药品。对于患有慢性呼吸系统疾病的12—18岁儿童和青少年不宜使用含可待因药品。
196	|	可待因1-5	|	#ffffff	|	正常使用正常使用<style font_color='#ff0000'>12岁以下禁用</style>	|	#ffffff	|	检测结果，您的孩子<style italic="true">CYP2D6</style>属于中间代谢型，可待因代谢正常，毒副作用低，提示可正常使用。<br/>12岁以下儿童禁用含可待因药品。对于患有慢性呼吸系统疾病的12—18岁儿童和青少年不宜使用含可待因药品。
197	|	右美沙芬1-1	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果，您的孩子<style italic="true">CYP2D6</style>属于正常代谢型，右美沙芬代谢正常，毒副作用低，提示可正常使用。
198	|	右美沙芬1-2	|	#ffff00	|	增加用药剂量	|	#ffff00	|	检测结果，您的孩子<style italic="true">CYP2D6</style>属于快代谢型，右美沙芬代谢快，有效浓度低，提示可遵医嘱增加用药剂量。
199	|	右美沙芬1-3	|	#ffff00	|	减少用药剂量	|	#ffff00	|	检测结果，您的孩子<style italic="true">CYP2D6</style>属于弱代谢型，右美沙芬代谢慢，副作用高，提示可遵医嘱减少用药剂量。
200	|	右美沙芬1-4	|	#ffff00	|	减少用药剂量	|	#ffff00	|	检测结果，您的孩子<style italic="true">CYP2D6</style>属于中间代谢型，右美沙芬代谢较慢，副作用较高，提示可遵医嘱减少用药剂量。
201	|	孟鲁司特钠1-1	|	#ffffff	|	药效不佳	|	#ffff00	|	检测结果，您的孩子<style italic="true">SLCO2B1</style>的多态类型可能导致孟鲁司特钠药效差。
	|	孟鲁司特钠2-1	|	#ffff00	|		|		|	
	|	孟鲁司特钠3-1	|	#ffffff	|		|		|	
202	|	孟鲁司特钠1-2	|	#ffffff	|	药效不佳	|	#ffff00	|	检测结果，您的孩子<style italic="true">SLCO2B1</style>的多态类型可能导致孟鲁司特钠药效差。
	|	孟鲁司特钠2-1	|	#ffff00	|		|		|	
	|	孟鲁司特钠3-1	|	#ffffff	|		|		|	
203	|	孟鲁司特钠1-3	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果，您的孩子使用孟鲁司特钠药效正常，提示可正常使用。
	|	孟鲁司特钠2-1	|	#ffffff	|		|		|	
	|	孟鲁司特钠3-1	|	#ffffff	|		|		|	
204	|	孟鲁司特钠1-1	|	#ffffff	|	药效不佳	|	#ffff00	|	检测结果，您的孩子<style italic="true">SLCO2B1</style>的多态类型可能导致孟鲁司特钠药效差。
	|	孟鲁司特钠2-1	|	#ffff00	|		|		|	
	|	孟鲁司特钠3-2	|	#ffffff	|		|		|	
205	|	孟鲁司特钠1-2	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果，您的孩子使用孟鲁司特钠药效正常，提示可正常使用。
	|	孟鲁司特钠2-1	|	#ffffff	|		|		|	
	|	孟鲁司特钠3-2	|	#ffffff	|		|		|	
206	|	孟鲁司特钠1-3	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果，您的孩子使用孟鲁司特钠药效正常，提示可正常使用。
	|	孟鲁司特钠2-1	|	#ffffff	|		|		|	
	|	孟鲁司特钠3-2	|	#ffffff	|		|		|	
207	|	孟鲁司特钠1-1	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果，您的孩子使用孟鲁司特钠药效正常，提示可正常使用。
	|	孟鲁司特钠2-1	|	#ffffff	|		|		|	
	|	孟鲁司特钠3-3	|	#ffffff	|		|		|	
208	|	孟鲁司特钠1-2	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果，您的孩子使用孟鲁司特钠药效正常，提示可正常使用。
	|	孟鲁司特钠2-1	|	#ffffff	|		|		|	
	|	孟鲁司特钠3-3	|	#ffffff	|		|		|	
209	|	孟鲁司特钠1-3	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果，您的孩子使用孟鲁司特钠药效正常，提示可正常使用。
	|	孟鲁司特钠2-1	|	#ffffff	|		|		|	
	|	孟鲁司特钠3-3	|	#ffffff	|		|		|	
210	|	孟鲁司特钠1-1	|	#ffffff	|	药效不佳	|	#ffff00	|	检测结果，您的孩子<style italic="true">SLCO2B1</style>的多态类型可能导致孟鲁司特钠药效差。
	|	孟鲁司特钠2-2	|	#ffff00	|		|		|	
	|	孟鲁司特钠3-1	|	#ffffff	|		|		|	
211	|	孟鲁司特钠1-2	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果，您的孩子使用孟鲁司特钠药效正常，提示可正常使用。
	|	孟鲁司特钠2-2	|	#ffffff	|		|		|	
	|	孟鲁司特钠3-1	|	#ffffff	|		|		|	
212	|	孟鲁司特钠1-3	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果，您的孩子使用孟鲁司特钠药效正常，提示可正常使用。
	|	孟鲁司特钠2-2	|	#ffffff	|		|		|	
	|	孟鲁司特钠3-1	|	#ffffff	|		|		|	
213	|	孟鲁司特钠1-1	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果，您的孩子使用孟鲁司特钠药效正常，提示可正常使用。
	|	孟鲁司特钠2-2	|	#ffffff	|		|		|	
	|	孟鲁司特钠3-2	|	#ffffff	|		|		|	
214	|	孟鲁司特钠1-2	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果，您的孩子使用孟鲁司特钠药效正常，提示可正常使用。
	|	孟鲁司特钠2-2	|	#ffffff	|		|		|	
	|	孟鲁司特钠3-2	|	#ffffff	|		|		|	
215	|	孟鲁司特钠1-3	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果，您的孩子使用孟鲁司特钠药效正常，提示可正常使用。
	|	孟鲁司特钠2-2	|	#ffffff	|		|		|	
	|	孟鲁司特钠3-2	|	#ffffff	|		|		|	
216	|	孟鲁司特钠1-1	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果，您的孩子使用孟鲁司特钠药效正常，提示可正常使用。
	|	孟鲁司特钠2-2	|	#ffffff	|		|		|	
	|	孟鲁司特钠3-3	|	#ffffff	|		|		|	
217	|	孟鲁司特钠1-2	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果，您的孩子使用孟鲁司特钠药效正常，提示可正常使用。
	|	孟鲁司特钠2-2	|	#ffffff	|		|		|	
	|	孟鲁司特钠3-3	|	#ffffff	|		|		|	
218	|	孟鲁司特钠1-3	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果，您的孩子使用孟鲁司特钠药效正常，提示可正常使用。
	|	孟鲁司特钠2-2	|	#ffffff	|		|		|	
	|	孟鲁司特钠3-3	|	#ffffff	|		|		|	
219	|	孟鲁司特钠1-1	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果，您的孩子使用孟鲁司特钠药效正常，提示可正常使用。
	|	孟鲁司特钠2-3	|	#ffffff	|		|		|	
	|	孟鲁司特钠3-1	|	#ffffff	|		|		|	
220	|	孟鲁司特钠1-2	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果，您的孩子使用孟鲁司特钠药效正常，提示可正常使用。
	|	孟鲁司特钠2-3	|	#ffffff	|		|		|	
	|	孟鲁司特钠3-1	|	#ffffff	|		|		|	
221	|	孟鲁司特钠1-3	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果，您的孩子使用孟鲁司特钠药效正常，提示可正常使用。
	|	孟鲁司特钠2-3	|	#ffffff	|		|		|	
	|	孟鲁司特钠3-1	|	#ffffff	|		|		|	
222	|	孟鲁司特钠1-1	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果，您的孩子使用孟鲁司特钠药效正常，提示可正常使用。
	|	孟鲁司特钠2-3	|	#ffffff	|		|		|	
	|	孟鲁司特钠3-2	|	#ffffff	|		|		|	
223	|	孟鲁司特钠1-2	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果，您的孩子使用孟鲁司特钠药效正常，提示可正常使用。
	|	孟鲁司特钠2-3	|	#ffffff	|		|		|	
	|	孟鲁司特钠3-2	|	#ffffff	|		|		|	
224	|	孟鲁司特钠1-3	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果，您的孩子使用孟鲁司特钠药效正常，提示可正常使用。
	|	孟鲁司特钠2-3	|	#ffffff	|		|		|	
	|	孟鲁司特钠3-2	|	#ffffff	|		|		|	
225	|	孟鲁司特钠1-1	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果，您的孩子使用孟鲁司特钠药效正常，提示可正常使用。
	|	孟鲁司特钠2-3	|	#ffffff	|		|		|	
	|	孟鲁司特钠3-3	|	#ffffff	|		|		|	
226	|	孟鲁司特钠1-2	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果，您的孩子使用孟鲁司特钠药效正常，提示可正常使用。
	|	孟鲁司特钠2-3	|	#ffffff	|		|		|	
	|	孟鲁司特钠3-3	|	#ffffff	|		|		|	
227	|	孟鲁司特钠1-3	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果，您的孩子使用孟鲁司特钠药效正常，提示可正常使用。
	|	孟鲁司特钠2-3	|	#ffffff	|		|		|	
	|	孟鲁司特钠3-3	|	#ffffff	|		|		|	
228	|	二甲双胍1-1	|	#ffffff	|	使用效果好	|	#ffffff	|	检测结果，您的孩子使用二甲双胍药效好，提示可正常使用。
	|	二甲双胍2-1	|	#ffffff	|		|		|	
	|	二甲双胍3-1	|	#ffffff	|		|		|	
229	|	二甲双胍1-1	|	#ffffff	|	使用效果好	|	#ffffff	|	检测结果，您的孩子使用二甲双胍药效好，提示可正常使用。
	|	二甲双胍2-1	|	#ffffff	|		|		|	
	|	二甲双胍3-2	|	#ffffff	|		|		|	
230	|	二甲双胍1-1	|	#ffffff	|	使用效果好	|	#ffffff	|	检测结果，您的孩子使用二甲双胍药效好，提示可正常使用。
	|	二甲双胍2-1	|	#ffffff	|		|		|	
	|	二甲双胍3-3	|	#ffffff	|		|		|	
231	|	二甲双胍1-1	|	#ffffff	|	使用效果好	|	#ffffff	|	检测结果，您的孩子使用二甲双胍药效好，提示可正常使用。
	|	二甲双胍2-2	|	#ffffff	|		|		|	
	|	二甲双胍3-1	|	#ffffff	|		|		|	
232	|	二甲双胍1-1	|	#ffffff	|	使用效果好	|	#ffffff	|	检测结果，您的孩子使用二甲双胍药效好，提示可正常使用。
	|	二甲双胍2-2	|	#ffffff	|		|		|	
	|	二甲双胍3-2	|	#ffffff	|		|		|	
233	|	二甲双胍1-1	|	#ffffff	|	使用效果好	|	#ffffff	|	检测结果，您的孩子使用二甲双胍药效好，提示可正常使用。
	|	二甲双胍2-2	|	#ffffff	|		|		|	
	|	二甲双胍3-3	|	#ffffff	|		|		|	
234	|	二甲双胍1-1	|	#ffffff	|	使用效果好	|	#ffffff	|	检测结果，您的孩子使用二甲双胍药效好，提示可正常使用。
	|	二甲双胍2-3	|	#ffffff	|		|		|	
	|	二甲双胍3-1	|	#ffffff	|		|		|	
235	|	二甲双胍1-1	|	#ffffff	|	使用效果好	|	#ffffff	|	检测结果，您的孩子使用二甲双胍药效好，提示可正常使用。
	|	二甲双胍2-3	|	#ffffff	|		|		|	
	|	二甲双胍3-2	|	#ffffff	|		|		|	
236	|	二甲双胍1-1	|	#ffffff	|	使用效果好	|	#ffffff	|	检测结果，您的孩子使用二甲双胍药效好，提示可正常使用。
	|	二甲双胍2-3	|	#ffffff	|		|		|	
	|	二甲双胍3-3	|	#ffffff	|		|		|	
237	|	二甲双胍1-2	|	#ffffff	|	使用效果好	|	#ffffff	|	检测结果，您的孩子使用二甲双胍药效好，提示可正常使用。
	|	二甲双胍2-1	|	#ffffff	|		|		|	
	|	二甲双胍3-1	|	#ffffff	|		|		|	
238	|	二甲双胍1-2	|	#ffffff	|	使用效果好	|	#ffffff	|	检测结果，您的孩子使用二甲双胍药效好，提示可正常使用。
	|	二甲双胍2-1	|	#ffffff	|		|		|	
	|	二甲双胍3-2	|	#ffffff	|		|		|	
239	|	二甲双胍1-2	|	#ffffff	|	使用效果好	|	#ffffff	|	检测结果，您的孩子使用二甲双胍药效好，提示可正常使用。
	|	二甲双胍2-1	|	#ffffff	|		|		|	
	|	二甲双胍3-3	|	#ffffff	|		|		|	
240	|	二甲双胍1-2	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果，您的孩子使用二甲双胍药效较好，提示可正常使用。
	|	二甲双胍2-2	|	#ffffff	|		|		|	
	|	二甲双胍3-1	|	#ffffff	|		|		|	
241	|	二甲双胍1-2	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果，您的孩子使用二甲双胍药效较好，提示可正常使用。
	|	二甲双胍2-2	|	#ffffff	|		|		|	
	|	二甲双胍3-2	|	#ffffff	|		|		|	
242	|	二甲双胍1-2	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果，您的孩子使用二甲双胍药效较好，提示可正常使用。
	|	二甲双胍2-2	|	#ffffff	|		|		|	
	|	二甲双胍3-3	|	#ffffff	|		|		|	
243	|	二甲双胍1-2	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果，您的孩子使用二甲双胍药效较好，提示可正常使用。
	|	二甲双胍2-3	|	#ffffff	|		|		|	
	|	二甲双胍3-1	|	#ffffff	|		|		|	
244	|	二甲双胍1-2	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果，您的孩子使用二甲双胍药效较好，提示可正常使用。
	|	二甲双胍2-3	|	#ffffff	|		|		|	
	|	二甲双胍3-2	|	#ffffff	|		|		|	
245	|	二甲双胍1-2	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果，您的孩子使用二甲双胍药效较好，提示可正常使用。
	|	二甲双胍2-3	|	#ffffff	|		|		|	
	|	二甲双胍3-3	|	#ffffff	|		|		|	
246	|	二甲双胍1-3	|	#ffff00	|	药效不佳	|	#ffff00	|	检测结果，您的孩子二甲双胍代谢快，药效差，提示可能药效不佳，建议换药。
	|	二甲双胍2-1	|	#ffffff	|		|		|	
	|	二甲双胍3-1	|	#ffffff	|		|		|	
247	|	二甲双胍1-3	|	#ffff00	|	药效不佳	|	#ffff00	|	检测结果，您的孩子二甲双胍代谢快，药效差，提示可能药效不佳，建议换药。
	|	二甲双胍2-1	|	#ffffff	|		|		|	
	|	二甲双胍3-2	|	#ffffff	|		|		|	
248	|	二甲双胍1-3	|	#ffff00	|	药效不佳	|	#ffff00	|	检测结果，您的孩子二甲双胍代谢快，药效差，提示可能药效不佳，建议换药。
	|	二甲双胍2-1	|	#ffffff	|		|		|	
	|	二甲双胍3-3	|	#ffffff	|		|		|	
249	|	二甲双胍1-3	|	#ffff00	|	药效不佳	|	#ffff00	|	检测结果，您的孩子二甲双胍代谢快，药效差，提示可能药效不佳，建议换药。
	|	二甲双胍2-2	|	#ffffff	|		|		|	
	|	二甲双胍3-1	|	#ffffff	|		|		|	
250	|	二甲双胍1-3	|	#ffff00	|	药效不佳	|	#ffff00	|	检测结果，您的孩子二甲双胍代谢快，药效差，提示可能药效不佳，建议换药。
	|	二甲双胍2-2	|	#ffffff	|		|		|	
	|	二甲双胍3-2	|	#ffffff	|		|		|	
251	|	二甲双胍1-3	|	#ffff00	|	药效不佳	|	#ffff00	|	检测结果，您的孩子二甲双胍代谢快，药效差，提示可能药效不佳，建议换药。
	|	二甲双胍2-2	|	#ffffff	|		|		|	
	|	二甲双胍3-3	|	#ffffff	|		|		|	
252	|	二甲双胍1-3	|	#ffff00	|	药效不佳	|	#ffff00	|	检测结果，您的孩子二甲双胍代谢快，药效差，提示可能药效不佳，建议换药。
	|	二甲双胍2-3	|	#ffff00	|		|		|	
	|	二甲双胍3-1	|	#ffffff	|		|		|	
253	|	二甲双胍1-3	|	#ffff00	|	药效不佳	|	#ffff00	|	检测结果，您的孩子二甲双胍代谢快，药效差，提示可能药效不佳，建议换药。
	|	二甲双胍2-3	|	#ffff00	|		|		|	
	|	二甲双胍3-2	|	#ffffff	|		|		|	
254	|	二甲双胍1-3	|	#ffff00	|	药效不佳	|	#ffff00	|	检测结果，您的孩子二甲双胍代谢快，药效差，提示可能药效不佳，建议换药。
	|	二甲双胍2-3	|	#ffff00	|		|		|	
	|	二甲双胍3-3	|	#ffffff	|		|		|	
255	|	格列本脲1-1	|	#ffffff	|	减少用药剂量	|	#ffff00	|	检测结果，您的孩子不携带<style italic="true">G6PD</style>基因突变；<style italic="true">SCNN1B</style>多态类型提示毒副作用风险高，提示可遵医嘱减少用药剂量。
	|	格列本脲2-1	|	#ffff00	|		|		|	
256	|	格列本脲1-1	|	#ffffff	|	减少用药剂量	|	#ffff00	|	检测结果，您的孩子不携带<style italic="true">G6PD</style>基因突变；<style italic="true">SCNN1B</style>多态类型提示毒副作用风险较高，提示可遵医嘱减少用药剂量。
	|	格列本脲2-2	|	#ffff00	|		|		|	
257	|	格列本脲1-1	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果，您的孩子不携带<style italic="true">G6PD</style>基因突变；<style italic="true">SCNN1B</style>多态类型提示毒副作用风险低。提示可正常使用。
	|	格列本脲2-3	|	#ffffff	|		|		|	
258	|	格列本脲1-2	|	#ff0000	|	禁用	|	#ff0000	|	检测结果，您的孩子携带<style italic="true">G6PD</style>基因突变，格列本脲导致的溶血风险高；<style italic="true">SCNN1B</style>多态类型提示毒副作用风险高，请禁用格列本脲，并就医进行葡萄糖-6-磷酸脱氢酶缺乏症检测。
	|	格列本脲2-1	|	#ffffff	|		|		|	
259	|	格列本脲1-2	|	#ff0000	|	禁用	|	#ff0000	|	检测结果，您的孩子携带<style italic="true">G6PD</style>基因突变，格列本脲导致的溶血风险高；<style italic="true">SCNN1B</style>多态类型提示毒副作用风险较高，请禁用格列本脲，并就医进行葡萄糖-6-磷酸脱氢酶缺乏症检测。
	|	格列本脲2-2	|	#ff0000	|		|		|	
260	|	格列本脲1-2	|	#ff0000	|	禁用	|	#ff0000	|	检测结果，您的孩子携带<style italic="true">G6PD</style>基因突变，格列本脲导致的溶血风险高；<style italic="true">SCNN1B</style>多态类型提示毒副作用风险低，请禁用格列本脲，并就医进行葡萄糖-6-磷酸脱氢酶缺乏症检测。
	|	格列本脲2-3	|	#ff0000	|		|		|	
261	|	马来酸格列酮1-1	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果，您的孩子<style italic="true">CYP2C8</style>属于正常代谢型，马来酸格列酮代谢正常；<style italic="true">ADIPOQ</style>多态类型提示药效正常。提示可正常使用。
	|	马来酸格列酮2-1	|	#ffffff	|		|		|	
262	|	马来酸格列酮1-1	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果，您的孩子<style italic="true">CYP2C8</style>属于正常代谢型，马来酸格列酮代谢正常；<style italic="true">ADIPOQ</style>多态类型提示药效较好。提示可正常使用。
	|	马来酸格列酮2-2	|	#ffffff	|		|		|	
263	|	马来酸格列酮1-1	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果，您的孩子<style italic="true">CYP2C8</style>属于正常代谢型，马来酸格列酮代谢正常；<style italic="true">ADIPOQ</style>多态类型提示药效好。提示可正常使用。
	|	马来酸格列酮2-3	|	#ffffff	|		|		|	
264	|	马来酸格列酮1-2	|	#ffff00	|	药效不佳	|	#ffff00	|	检测结果，您的孩子<style italic="true">CYP2C8</style>属于慢代谢型，马来酸格列酮代谢慢，药效差；<style italic="true">ADIPOQ</style>多态类型提示药物效正常，使用效果可能不佳。建议换用其他药物。
	|	马来酸格列酮2-1	|	#ffff00	|		|		|	
265	|	马来酸格列酮1-2	|	#ffff00	|	药效不佳	|	#ffff00	|	检测结果，您的孩子<style italic="true">CYP2C8</style>属于慢代谢型，马来酸格列酮代谢慢，药效差；<style italic="true">ADIPOQ</style>多态类型提示药物效较好，使用效果可能不佳。建议换用其他药物。
	|	马来酸格列酮2-2	|	#ffff00	|		|		|	
266	|	马来酸格列酮1-2	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果，您的孩子<style italic="true">CYP2C8</style>属于慢代谢型，马来酸格列酮代谢慢，药效差；<style italic="true">ADIPOQ</style>多态类型提示药物效好。提示可正常使用。
	|	马来酸格列酮2-3	|	#ffffff	|		|		|	
267	|	苯妥英钠1-1	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果，您的孩子<style italic="true">CYP2C9</style>属于正常代谢型，苯妥英钠代谢正常，副作用低；<style italic="true">SCN1A</style>多态提示药效正常。提示可正常使用。
	|	苯妥英钠2-1	|	#ffffff	|		|		|	
268	|	苯妥英钠1-1	|	#ffffff	|	增加用药剂量	|	#ffff00	|	检测结果，您的孩子<style italic="true">CYP2C9</style>属于正常代谢型，苯妥英钠代谢正常，副作用低；<style italic="true">SCN1A</style>多态提示常规剂量药效不佳，可遵医嘱增加用药剂量。
	|	苯妥英钠2-2	|	#ffff00	|		|		|	
269	|	苯妥英钠1-1	|	#ffffff	|	增加用药剂量	|	#ffff00	|	检测结果，您的孩子<style italic="true">CYP2C9</style>属于正常代谢型，苯妥英钠代谢正常，副作用低；<style italic="true">SCN1A</style>多态提示常规剂量药效差，可遵医嘱增加用药剂量。
	|	苯妥英钠2-3	|	#ffff00	|		|		|	
270	|	苯妥英钠1-2	|	#ffff00	|	减少用药剂量	|	#ffff00	|	检测结果，您的孩子<style italic="true">CYP2C9</style>属于弱代谢型，苯妥英钠代谢慢，副作用高；<style italic="true">SCN1A</style>多态提示药效正常。可遵医嘱减少用药剂量。
	|	苯妥英钠2-1	|	#ffffff	|		|		|	
271	|	苯妥英钠1-2	|	#ff0000	|	慎用	|	#ff0000	|	检测结果，您的孩子<style italic="true">CYP2C9</style>属于弱代谢型，苯妥英钠代谢慢，副作用高；<style italic="true">SCN1A</style>多态提示常规剂量药效不佳，请慎用。
	|	苯妥英钠2-2	|	#ff0000	|		|		|	
272	|	苯妥英钠1-2	|	#ff0000	|	慎用	|	#ff0000	|	检测结果，您的孩子<style italic="true">CYP2C9</style>属于弱代谢型，苯妥英钠代谢慢，副作用高；<style italic="true">SCN1A</style>多态提示常规剂量药效差，请慎用。
	|	苯妥英钠2-3	|	#ff0000	|		|		|	
273	|	地西泮1-1	|	#ffff00	|	增加用药剂量	|	#ffff00	|	检测结果，您的孩子<style italic="true">CYP2C19</style>属于正常代谢型，地西泮代谢正常，药效持续时间短，提示可遵医嘱增加用药剂量。
274	|	地西泮1-2	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果，您的孩子<style italic="true">CYP2C19</style>属于中间代谢型，地西泮代谢较慢，药效持续时间长，提示可正常使用。
275	|	地西泮1-3	|	#ffff00	|	增加用药剂量	|	#ffff00	|	检测结果，您的孩子<style italic="true">CYP2C19</style>属于快代谢型，地西泮代谢较快，药效持续时间短，提示可遵医嘱增加用药剂量。
276	|	地西泮1-4	|	#ffff00	|	减少用药剂量	|	#ffff00	|	检测结果，您的孩子<style italic="true">CYP2C19</style>属于弱代谢型，地西泮代谢慢，药效持续时间长，提示可遵医嘱减少用药剂量。
277	|	地西泮1-5	|	#ffff00	|	增加用药剂量	|	#ffff00	|	检测结果，您的孩子<style italic="true">CYP2C19</style>属于超快代谢型，地西泮代谢快，药效持续时间短，提示可遵医嘱增加用药剂量。
278	|	卡马西平1-1	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果，您的孩子对卡马西平代谢正常；由<style italic="true">PRRC2A</style>导致的毒副作用风险低；药效好。提示可正常使用。
	|	卡马西平2-1	|	#ffffff	|		|		|	
	|	卡马西平3-1	|	#ffffff	|		|		|	
279	|	卡马西平1-1	|	#ffffff	|	减少用药剂量	|	#ffff00	|	检测结果，您的孩子对卡马西平代谢正常；由<style italic="true">PRRC2A</style>导致的毒副作用风险较高；药效好。提示可遵医嘱减少剂量。
	|	卡马西平2-1	|	#ffffff	|		|		|	
	|	卡马西平3-2	|	#ffff00	|		|		|	
280	|	卡马西平1-1	|	#ffffff	|	减少用药剂量	|	#ffff00	|	检测结果，您的孩子对卡马西平代谢正常；由<style italic="true">PRRC2A</style>导致的毒副作用风险高；药效好。提示可遵医嘱减少剂量。
	|	卡马西平2-1	|	#ffffff	|		|		|	
	|	卡马西平3-3	|	#ffff00	|		|		|	
281	|	卡马西平1-1	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果，您的孩子对卡马西平代谢较快；由<style italic="true">PRRC2A</style>导致的毒副作用风险低；药效好。提示可正常使用。
	|	卡马西平2-2	|	#ffffff	|		|		|	
	|	卡马西平3-1	|	#ffffff	|		|		|	
282	|	卡马西平1-1	|	#ffffff	|	减少用药剂量	|	#ffff00	|	检测结果，您的孩子对卡马西平代谢较快；由<style italic="true">PRRC2A</style>导致的毒副作用风险较高；药效好。提示可遵医嘱减少剂量。
	|	卡马西平2-2	|	#ffffff	|		|		|	
	|	卡马西平3-2	|	#ffff00	|		|		|	
283	|	卡马西平1-1	|	#ffffff	|	减少用药剂量	|	#ffff00	|	检测结果，您的孩子对卡马西平代谢较快；由<style italic="true">PRRC2A</style>导致的毒副作用风险高；药效好。提示可遵医嘱减少剂量。
	|	卡马西平2-2	|	#ffffff	|		|		|	
	|	卡马西平3-3	|	#ffff00	|		|		|	
284	|	卡马西平1-1	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果，您的孩子对卡马西平代谢快；由<style italic="true">PRRC2A</style>导致的毒副作用风险低；药效好。提示可正常使用。
	|	卡马西平2-3	|	#ffffff	|		|		|	
	|	卡马西平3-1	|	#ffffff	|		|		|	
285	|	卡马西平1-1	|	#ffffff	|	减少用药剂量	|	#ffff00	|	检测结果，您的孩子对卡马西平代谢快；由<style italic="true">PRRC2A</style>导致的毒副作用风险较高；药效好。提示可遵医嘱减少剂量。
	|	卡马西平2-3	|	#ffffff	|		|		|	
	|	卡马西平3-2	|	#ffff00	|		|		|	
286	|	卡马西平1-1	|	#ffffff	|	减少用药剂量	|	#ffff00	|	检测结果，您的孩子对卡马西平代谢快；由<style italic="true">PRRC2A</style>导致的毒副作用风险高；药效好。提示可遵医嘱减少剂量。
	|	卡马西平2-3	|	#ffffff	|		|		|	
	|	卡马西平3-3	|	#ffff00	|		|		|	
287	|	卡马西平1-2	|	#ffff00	|	增加用药剂量	|	#ffff00	|	检测结果，您的孩子对卡马西平代谢正常；由<style italic="true">PRRC2A</style>导致的毒副作用风险低；常规剂量药效不佳。提示可遵医嘱增加剂量。
	|	卡马西平2-1	|	#ffffff	|		|		|	
	|	卡马西平3-1	|	#ffffff	|		|		|	
